Word,Probability 1,Probability 2,Predicted Language
Declaración,0.07810348219555381,0.07948243992606285,Italian
Universal,0.05351170568561873,0.06044362292051756,Italian
de,0.12472949045839071,0.10406654343807763,Spanish
Derechos,0.06767656895534134,0.04731977818853974,Spanish
Humanos,0.06767656895534134,0.04731977818853974,Spanish
Adoptada,0.10800708243163486,0.0988909426987061,Spanish
y,0.010033444816053512,0,Spanish
proclamada,0.10800708243163486,0.0988909426987061,Spanish
por,0.06826677159157978,0.06025878003696858,Spanish
la,0.10800708243163486,0.0988909426987061,Spanish
Asamblea,0.10800708243163486,0.0988909426987061,Spanish
General,0.05351170568561873,0.06044362292051756,Italian
en,0.07810348219555381,0.07948243992606285,Italian
su,0.03580562659846547,0.03493530499075786,Spanish
resolución,0.07810348219555381,0.07948243992606285,Italian
217,0.0003934684241589612,0.0003696857670979667,Spanish
A,0,0,Italian
(,0,0,Italian
III,0,0,Italian
"),",0,0,Italian
de,0.12472949045839071,0.10406654343807763,Spanish
10,0.0003934684241589612,0.00018484288354898336,Spanish
de,0.12472949045839071,0.10406654343807763,Spanish
diciembre,0.12472949045839071,0.10406654343807763,Spanish
de,0.12472949045839071,0.10406654343807763,Spanish
1948,0.0003934684241589612,0.00018484288354898336,Spanish
Preámbulo,0.09010426913240213,0.0944547134935305,Italian
Considerando,0.09010426913240213,0.0944547134935305,Italian
que,0.12472949045839071,0.10406654343807763,Spanish
la,0.10800708243163486,0.0988909426987061,Spanish
libertad,0.06118433995671847,0.05101663585951941,Spanish
la,0.10800708243163486,0.0988909426987061,Spanish
justicia,0.10800708243163486,0.0988909426987061,Spanish
y,0.010033444816053512,0,Spanish
la,0.10800708243163486,0.0988909426987061,Spanish
paz,0.0013771394845563643,0.014417744916820702,Italian
en,0.07810348219555381,0.07948243992606285,Italian
el,0.05351170568561873,0.06044362292051756,Italian
mundo,0.09010426913240213,0.0944547134935305,Italian
tienen,0.07810348219555381,0.07948243992606285,Italian
por,0.06826677159157978,0.06025878003696858,Spanish
base,0.12472949045839071,0.10406654343807763,Spanish
el,0.05351170568561873,0.06044362292051756,Italian
reconocimiento,0.09010426913240213,0.0944547134935305,Italian
de,0.12472949045839071,0.10406654343807763,Spanish
la,0.10800708243163486,0.0988909426987061,Spanish
