Word,Probability 1,Probability 2,Predicted Language
Déclaration,0.08122853101636694,0.08563926479499091,English
universelle,0.1402303495655688,0.12300545344374873,French
des,0.07678318852293392,0.051100787719652596,French
droits,0.07678318852293392,0.051100787719652596,French
de,0.1402303495655688,0.12300545344374873,French
l,0.05778945241462922,0.04483942637850939,French
homme,0.1402303495655688,0.12300545344374873,French
Préambule,0.1402303495655688,0.12300545344374873,French
Considérant,0.08971509395837543,0.09472833770955362,English
que,0.1402303495655688,0.12300545344374873,French
la,0.07294402909678722,0.08402342961017976,English
reconnaissance,0.1402303495655688,0.12300545344374873,French
de,0.1402303495655688,0.12300545344374873,French
la,0.07294402909678722,0.08402342961017976,English
dignité,0.025257627803596687,0,French
inhérente,0.1402303495655688,0.12300545344374873,French
à,0.005859769650434431,0,French
tous,0.07678318852293392,0.051100787719652596,French
les,0.07678318852293392,0.051100787719652596,French
membres,0.07678318852293392,0.051100787719652596,French
de,0.1402303495655688,0.12300545344374873,French
la,0.07294402909678722,0.08402342961017976,English
famille,0.1402303495655688,0.12300545344374873,French
humaine,0.1402303495655688,0.12300545344374873,French
et,0.08971509395837543,0.09472833770955362,English
de,0.1402303495655688,0.12300545344374873,French
leurs,0.07678318852293392,0.051100787719652596,French
droits,0.07678318852293392,0.051100787719652596,French
égaux,0.003637098403717923,0.0004039587962027873,French
et,0.08971509395837543,0.09472833770955362,English
inaliénables,0.07678318852293392,0.051100787719652596,French
constitue,0.1402303495655688,0.12300545344374873,French
le,0.1402303495655688,0.12300545344374873,French
fondement,0.08971509395837543,0.09472833770955362,English
de,0.1402303495655688,0.12300545344374873,French
la,0.07294402909678722,0.08402342961017976,English
liberté,0.025257627803596687,0,French
de,0.1402303495655688,0.12300545344374873,French
la,0.07294402909678722,0.08402342961017976,English
justice,0.1402303495655688,0.12300545344374873,French
et,0.08971509395837543,0.09472833770955362,English
de,0.1402303495655688,0.12300545344374873,French
la,0.07294402909678722,0.08402342961017976,English
paix,0.003637098403717923,0.0004039587962027873,French
dans,0.07678318852293392,0.051100787719652596,French
le,0.1402303495655688,0.12300545344374873,French
monde,0.1402303495655688,0.12300545344374873,French
Considérant,0.08971509395837543,0.09472833770955362,English
